route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
20,000014,88____:049::8893401:8894201:3:959:20220320,Lokeren,11039,,293,,1
19,000011,88____:049::8891009:8892205:4:1425:20220327,Lichtervelde,11039,,294,,1
7,000028,88____:049::8891009:8891702:2:41:20220408,Ostende,11039,,295,,1
1,000016,88____:049::8896735:8896305:5:1824:20220227,Menin,11040,,296,,1
2,000021,88____:049::8892205:8892338:6:2130:20220220,La Panne,11040,,297,,1
14,000018,88____:049::8895802:8895000:3:1944:20220306,Alost,11040,,298,,1
19,000003,88____:049::8892205:8891009:4:1322:20220313,Bruges,11040,,299,,1
15,000019,88____:049::8896008:8892205:5:1925:20220410,Lichtervelde,11040,,300,,1
20,000014,88____:049::8893401:8894201:3:1059:20220320,Lokeren,11040,,301,,1
19,000011,88____:049::8891009:8892205:4:1525:20220327,Lichtervelde,11040,,302,,1
7,000028,88____:049::8891009:8891702:2:159:20220408,Ostende,11040,,303,,1
1,000016,88____:049::8896735:8896305:5:1924:20220227,Menin,11041,,304,,1
2,000021,88____:049::8892205:8892338:6:2230:20220220,La Panne,11041,,305,,1
14,000018,88____:049::8895802:8895000:3:2044:20220306,Alost,11041,,306,,1
19,000003,88____:049::8892205:8891009:4:1422:20220313,Bruges,11041,,307,,1
15,000019,88____:049::8896008:8892205:5:2025:20220410,Lichtervelde,11041,,308,,1
20,000014,88____:049::8893401:8894201:3:1159:20220320,Lokeren,11041,,309,,1
19,000011,88____:049::8891009:8892205:4:1625:20220327,Lichtervelde,11041,,310,,1
1,000016,88____:049::8896735:8896305:5:2024:20220227,Menin,11042,,311,,1
2,000021,88____:049::8892205:8892338:6:2330:20220220,La Panne,11042,,312,,1
14,000018,88____:049::8895802:8895000:3:2144:20220306,Alost,11042,,313,,1
19,000003,88____:049::8892205:8891009:4:1522:20220313,Bruges,11042,,314,,1
15,000019,88____:049::8896008:8892205:5:2125:20220410,Lichtervelde,11042,,315,,1
20,000014,88____:049::8893401:8894201:3:1259:20220320,Lokeren,11042,,316,,1
19,000011,88____:049::8891009:8892205:4:1725:20220327,Lichtervelde,11042,,317,,1
1,000016,88____:049::8896735:8896305:5:2124:20220227,Menin,11043,,318,,1
2,000017,88____:049::8892205:8892338:6:2430:20220219,La Panne,11043,,319,,1
14,000018,88____:049::8895802:8895000:3:2244:20220306,Alost,11043,,320,,1
19,000003,88____:049::8892205:8891009:4:1622:20220313,Bruges,11043,,321,,1
